nama produk,harga,jumlah,kategori
"SHARP SJ-N162D-SH/SB/SP KULKAS 1 PINTU (BIRU,HIJAU,PINK)",2135000,3,Kulkas
SAMSUNG UA32T4500AKXXD SMART TV 32 INCH | NEW 2020 | 32T4500,3229900,11,TV
Ac AQUA Japan 1 PK Aqa-kcr9ahq Aqa kcr9ahq 9ahq Split Standard 1PK,3399000,16,AC
Samsung Neo QLED 4K 85 QN90C Samsung 85QN90C 85 Inch QA85QN90CAKXXD,62991000,2,TV
SAMSUNG 85QN90C NEO QLED 85 inch SMART TV QA85QN90CAKXXD 4K QA85QN90C,77999000,4,TV
Ionizer Wire Honeywell Electronic Air Cleaner EAC,55000,25,AC
TV LED LG 65 Inch 65UR9050PSK Smart tv 4K LG Tv 65UR9050 65UR90 UR9050,9793000,2,TV
Gea Kulkas 2 pintu G2HD-217 / G2HD 217 / G2HD217 217 liter Murah GARANSI RESMI GEA,2954000,40,Kulkas
LG 60UN7100PTA - LED UHD 4K SMART TV 60 Inch - 60UN7100 - 60UN71,9559900,9,TV
Google TV 50 Inch Hisense U6K 50 ULED TV Quantum Dot 50 Hisense 50U6K,7490000,1,TV
LG Freezer GN-INV304BK ( Black ) / FREEZER LG 6 RAK,4199388,1,Kulkas
AQUA CHEST FREEZER AQF-500 W/ LEMARI PEMBEKU/ MURAH/ BY SANYO,7999000,4,Kulkas
SAMSUNG RT31CG5420B1SE / RT31 Kulkas 2 Pintu w/Ungkep Compartment 305L,6699000,50,Kulkas
AC Daikin AC 1PK FTKE25YV14 Flash Inverter + PASANG / 1 PK FTKE 25YV14,5973000,60,AC
